candidat,exergue,thematique_1,thematique_2,position,detail,signes,nom_source,lien_source,date_source,theme_1,theme_2
Anne Hidalgo,Egalité salariale hommes-femmes,Salaires,Egalité femmes-hommes,Pénaliser les entreprises discriminatoires,"La maire de Paris souhaite rendre publique la liste des entreprises qui laissent perdurer les discriminations salariales entre les femmes et les hommes. Des pénalités seront également imposées. Aussi, selon la candidate socialiste, il devra revenir à l'entreprise de prouver qu’elle n’est pas coupable en cas de discrimination salariale. ",pos.: 42 | détail:338,Programme,https://www.2022avechidalgo.fr/notre_programme,"",Economie,Société
Anne Hidalgo,Politique familiale,Egalité femmes-hommes,Familles,Allonger le congé paternité à seize semaines,"La candidate du Parti socialiste souhaite allonger le congé paternité à seize semaines, dont six obligatoires.",pos.: 44 | détail:110,Programme,https://www.2022avechidalgo.fr/notre_programme,"",Société,Société
Anne Hidalgo,Réforme de l'assurance-chômage,Protection sociale,Emploi,Abroger la réforme de l'assurance-chômage,"L'édile de Paris souhaite abroger la réforme « injuste » de l'assurance-chômage pour un système « adapté aux besoins de notre temps, pleinement accessible aux jeunes ». Elle veut faire du chômage un temps au profit du projet professionnel, grâce à des bilans de compétence. Ce nouveau système doit améliorer l’indemnisation des démissionnaires, des indépendants et des précaires.

",pos.: 41 | détail:381,Programme,https://www.2022avechidalgo.fr/notre_programme,"",Social,Economie
Anne Hidalgo,Durée légale de travail,Entreprises et industrie,Droit du travail,Encourager la réduction du temps de travail,"Sans modifier la durée légale du temps de travail, la maire de Paris veut permettre aux entreprises qui le souhaitent d'avancer vers sa réduction. Le compte épargne temps sera rendu universel et mieux doté, propose-t-elle.",pos.: 43 | détail:222,Programme,https://www.2022avechidalgo.fr/notre_programme,"",Economie,Social
Anne Hidalgo,Protection de la biodiversité,Lutte contre le réchauffement climatique,"",Reconnaître le « crime d'écocide » ,"La candidate du PS veut inscrire l’obligation de lutter contre le réchauffement climatique et la dégradation de la biodiversité dans la Constitution. Elle souhaite aussi que la loi puisse reconnaître le « crime d'écocide », et veut instituer la fonction de défenseur de l'environnement chargé de veiller à son respect en France. Enfin, elle plaide pour la création d’un Tribunal pénal international de l’environnement au sein de l'ONU.",pos.: 35 | détail:435,Programme,https://www.2022avechidalgo.fr/notre_programme,"",Environnement,""
Anne Hidalgo,Financement de la transition écologique,Lutte contre le réchauffement climatique,"",Voter annuellement un budget climat ,"La maire de Paris souhaite nommer comme numéro deux du gouvernement un ministre du climat, de la biodiversité et de l’économie. Elle propose aussi qu'un budget climat et biodiversité, voté chaque fin d’année par le
Parlement, puisse fixer les programmations de réduction d’émission de CO<sub>2</sub> et de décarbonation de la production d’énergie. ",pos.: 36 | détail:348,Programme,https://www.2022avechidalgo.fr/notre_programme,"",Environnement,""
Anne Hidalgo,Transport ferroviaire,Lutte contre le réchauffement climatique,Transports,Investir dans les petites lignes,"La candidate socialiste veut investir « massivement » dans les petites lignes, les trains de nuit, et le fret ferroviaire (doublement d'ici à 2030). Elle propose aussi que les déplacements en train puissent bénéficier d’un taux de TVA réduit, et qu’une taxe empreinte carbone sur le billet d’avion soit créée si « une alternative ferroviaire comparable existe ». ",pos.: 32 | détail:363,Programme,https://www.2022avechidalgo.fr/notre_programme,"",Environnement,Environnement
Anne Hidalgo,Avenir de l'automobile,Lutte contre le réchauffement climatique,Transports,Faciliter le recours aux voitures électriques,"La candidate souhaite renforcer le recours aux véhicules électriques (aides à l'acquisition, système de location peu coûteux, etc.).",pos.: 45 | détail:132,"","","",Environnement,Environnement
Anne Hidalgo,Passoires thermiques,Lutte contre le réchauffement climatique,Logement,Instaurer une prime pour rénover les logements,"La candidate du PS veut instaurer une « prime climat » pour favoriser la rénovation énergétique des bâtiments et permettre « la rénovation complète » de 760 000 logements privés par an, soit 22 millions de logements d’ici à 2050. ",pos.: 46 | détail:230,Programme,https://www.2022avechidalgo.fr/notre_programme,"",Environnement,Social
Anne Hidalgo,Précarité énergétique,Energie,Pouvoir d'achat,Baisser la TVA sur les factures d'énergie ,La candidate socialiste souhaite baisser la TVA pour les particuliers sur leur facture de gaz naturel et d’électricité. Elle souhaite également le faire « transitoirement » pour les carburants en cas de flambée des prix.,pos.: 42 | détail:220,Programme,https://www.2022avechidalgo.fr/notre_programme,"",Environnement,Social
